CaptureDate,CaptureTime,LinkID,VehicleGroup,PatchType,Duration,Observations,,,,,,,,
2011/1/1,80400,1309,1002,0,395,28,,,,,,,,
2011/1/1,80700,1309,1002,0,387,26,,,,,,,,
2011/1/1,81000,1309,1002,0,379,31,,,,,,,,
2011/1/1,81300,1309,1002,0,368,25,,,,,,,,
2011/1/1,81600,1309,1002,0,375,27,,,,,,,,
2011/1/1,81900,1309,1002,0,366,26,,,,,,,,
2011/1/1,82200,1309,1002,0,368,26,,,,,,,,
2011/1/1,82500,1309,1002,0,367,25,,,,,,,,
2011/1/1,82800,1309,1002,0,365,39,,,,,,,,
2011/1/1,83100,1309,1002,0,356,18,,,,,,,,
2011/1/1,83400,1309,1002,0,356,28,,,,,,,,
2011/1/1,83700,1309,1002,0,334,32,,,,,,,,
2011/1/1,84000,1309,1002,0,319,27,,,,,,,,
2011/1/1,84300,1309,1002,0,349,29,,,,,,,,
2011/1/1,84600,1309,1002,0,349,23,,,,,,,,
2011/1/1,84900,1309,1002,0,342,22,,,,,,,,
2011/1/1,85200,1309,1002,0,358,15,,,,,,,,
2011/1/1,85500,1309,1002,0,350,13,,,,,,,,
2011/1/1,85800,1309,1002,0,353,20,,,,,,,,
2011/1/1,86100,1309,1002,3,383,0,,,,,,,,
2011/1/2,0,1309,1002,0,318,11,,,,,,,,
2011/1/2,300,1309,1002,0,347,19,,,,,,,,
2011/1/2,600,1309,1002,0,372,14,,,,,,,,
2011/1/2,900,1309,1002,0,346,18,,,,,,,,
2011/1/2,1200,1309,1002,0,352,11,,,,,,,,
2011/1/2,1500,1309,1002,0,351,14,,,,,,,,
2011/1/2,1800,1309,1002,0,353,14,,,,,,,,
2011/1/2,2100,1309,1002,0,334,12,,,,,,,,
2011/1/2,2400,1309,1002,0,337,15,,,,,,,,
2011/1/2,2700,1309,1002,0,330,15,,,,,,,,
2011/1/2,3000,1309,1002,0,325,16,,,,,,,,
2011/1/2,3300,1309,1002,0,348,11,,,,,,,,
2011/1/2,3600,1309,1002,0,302,9,,,,,,,,
2011/1/2,3900,1309,1002,0,314,17,,,,,,,,
2011/1/2,4200,1309,1002,0,320,17,,,,,,,,
2011/1/2,4500,1309,1002,0,316,11,,,,,,,,
2011/1/2,4800,1309,1002,0,315,10,,,,,,,,
2011/1/2,5100,1309,1002,0,356,12,,,,,,,,
2011/1/2,5400,1309,1002,0,311,7,,,,,,,,
2011/1/2,5700,1309,1002,0,317,8,,,,,,,,
2011/1/2,6000,1309,1002,0,306,5,,,,,,,,
2011/1/2,6300,1309,1002,0,325,7,,,,,,,,
2011/1/2,6600,1309,1002,0,332,10,,,,,,,,
2011/1/2,6900,1309,1002,0,333,9,,,,,,,,
